username,sentimen,comment,translated_comment,case_folding,cleaning,lemmatization,remove_stopwords
jn_ryo.anggara,positif,Ada balasan ga?kalau ada. Nitip. Wringinanom juga.,There is no reply if there is also a mistake in the entrusted wishes.,there is no reply if there is also a mistake in the entrusted wishes.,there is no reply if there is also a mistake in the entrusted wishes,reply also mistake entrust wish,reply mistake entrust wish
jn_ryo.anggara,positif,@ranggagitahomaya disini jug mas. Wringinanom,"Here is not written correctly, it should be here now is my writing assignment.","here is not written correctly, it should be here now is my writing assignment.",here is not written correctly  it should be here now is my writing assignment,here write correctly here now writing assignment,write correctly writing assignment
ranggagitahomaya,negatif,"seluruh Desa kayaknya ADD belum masuk ke Rekening Desa, udah hampir 3 bulan masih belum ada siltap... Mana bahan pokok naik Beras semula hanya Rp. 12.000/kg sekarang Rp. 17.000-18.000/kg, telur semula Rp. 30.000/kg sekarang Rp. 36.000/kg, ayam potong semula Rp. 40.000/kg sekarang Rp. 45.000-50.000/kg 😂😂😂","The entire village seems to have not yet received the village funds, it's almost a month now and there's still no staple food subsidy, the price of rice has increased from IDR 8,000 per kilogram to IDR 10,000 per kilogram, eggs from IDR 18,000 per kilogram to IDR 20,000 per kilogram, and cut chicken from IDR 25,000 per kilogram to IDR 30,000 per kilogram.","the entire village seems to have not yet received the village funds, it's almost a month now and there's still no staple food subsidy, the price of rice has increased from idr 8,000 per kilogram to idr 10,000 per kilogram, eggs from idr 18,000 per kilogram to idr 20,000 per kilogram, and cut chicken from idr 25,000 per kilogram to idr 30,000 per kilogram.",the entire village seems to have not yet received the village funds  it s almost a month now and there s still no staple food subsidy  the price of rice has increased from idr per kilogram to idr per kilogram  eggs from idr per kilogram to idr per kilogram  and cut chicken from idr per kilogram to idr per kilogram,entire village seem yet receive village fund s almost month now s still staple food subsidy price rice increase idr kilogram idr kilogram egg idr kilogram idr kilogram cut chicken idr kilogram idr kilogram,entire village receive village fund s month s staple food subsidy price rice increase idr kilogram idr kilogram egg idr kilogram idr kilogram cut chicken idr kilogram idr kilogram
ranggagitahomaya,negatif,belum ada tanggapan dari @pemkabgresik,There has been no response from,there has been no response from,there has been no response from,response,response
jn_ryo.anggara,positif,@ranggagitahomaya maaf ga faham dengan add mas. Apa sembako murah tsb ada hubungannya dg desa ? Maaf sy org awam. Taunya redaksi diatas mengendalikan inflasi . Kok nguweri gitu ya.. seberapa besar dampaknya program tsb utk inflasi?? Tercengang.. kalau merata seluruh rakyat gresik. Insyaallah mantap banget mas... KARENA kenaikan harga bukan dikedamean saja. Tapi semua seluruh bangsa gresik dan endonesa.. jadi harapanya MERATA dan MENYELURUH...,"I apologize, I don't understand how the addition of subsidized staple foods can be related to the village, I apologize, as a layman, I think the editor above is controlling inflation, isn't that strange, how big is the impact of this program on inflation, it's astonishing if it's evenly distributed to all citizens of Gresik, God willing, it's very good, sir, because the price increase is not just being detained, but all throughout Gresik and Indonesia, so it's hoped to be evenly and comprehensive.","i apologize, i don't understand how the addition of subsidized staple foods can be related to the village, i apologize, as a layman, i think the editor above is controlling inflation, isn't that strange, how big is the impact of this program on inflation, it's astonishing if it's evenly distributed to all citizens of gresik, god willing, it's very good, sir, because the price increase is not just being detained, but all throughout gresik and indonesia, so it's hoped to be evenly and comprehensive.",i apologize  i don t understand how the addition of subsidized staple foods can be related to the village  i apologize  as a layman  i think the editor above is controlling inflation  isn t that strange  how big is the impact of this program on inflation  it s astonishing if it s evenly distributed to all citizens of gresik  god willing  it s very good  sir  because the price increase is not just being detained  but all throughout gresik and indonesia  so it s hoped to be evenly and comprehensive,apologize don t understand addition subsidized staple food relate village apologize layman think editor above control inflation isn t that strange big impact program inflation s astonishing s evenly distribute citizen gresik god willing s very good sir price increase just detain all gresik indonesia s hope evenly comprehensive,apologize don t understand addition subsidized staple food relate village apologize layman think editor control inflation isn t strange big impact program inflation s astonishing s evenly distribute citizen gresik god willing s good sir price increase detain gresik indonesia s hope evenly comprehensive
jn_ryo.anggara,positif,lupa.. biasanya bersyarat... Berktp... Ada pembatasan. Dan sekali. Setelah itu gak ada. Tapi ya sudah tidak apa-apa lah yang penting sudah berusaha mengedalikan inflasi,"Usually, there are conditional barriers, but once that's settled, there are no more, and that's alright, what's important is that we've tried to control inflation.","usually, there are conditional barriers, but once that's settled, there are no more, and that's alright, what's important is that we've tried to control inflation.",usually  there are conditional barriers  but once that s settled  there are no more  and that s alright  what s important is that we ve tried to control inflation,usually conditional barrier s settle more s s important ve try control inflation,usually conditional barrier s settle s s important ve try control inflation
ranggagitahomaya,negatif,kirain anda perangkat Desa juga 😂😂🙏🙏,It seems you are also a village device.,it seems you are also a village device.,it seems you are also a village device,seem also village device,village device
jn_ryo.anggara,positif,tidak mas. Rakyat biasa. Anda hati-hati. Nanti kalau ada apa-apa saya angkat tangan. Hehehe,"Don't be an ordinary citizen, be careful, later if something happens I'll take responsibility, hehehe.","don't be an ordinary citizen, be careful, later if something happens i'll take responsibility, hehehe.",don t be an ordinary citizen  be careful  later if something happens i ll take responsibility  hehehe,don t ordinary citizen careful later happen take responsibility hehehe,don t ordinary citizen careful later happen responsibility hehehe
arlienzhiel,negatif,Cerme iker-iker kapan?,"The sentence ""cerme iker iker kapan"" translates to ""When will you go to the market again?""","the sentence ""cerme iker iker kapan"" translates to ""when will you go to the market again?""",the sentence  cerme iker iker kapan  translates to  when will you go to the market again,sentence cerme iker iker kapan translate go market again,sentence cerme iker iker kapan translate market
st.budi27,positif,Selamat ulang tahun Pemkab Gresik ku❤️❤️❤️,Happy birthday to the Gresik Regency Government.,happy birthday to the gresik regency government.,happy birthday to the gresik regency government,happy birthday gresik regency government,happy birthday gresik regency government
wahyujhonis,positif,Keren🤩 Mantab👍🏽,"The phrase ""keren mantab"" can be translated to "" Awesome, cool!","the phrase ""keren mantab"" can be translated to "" awesome, cool!",the phrase  keren mantab  can be translated to awesome  cool,phrase keren mantab translate awesome cool,phrase keren mantab translate awesome cool
talita.tenda.gresik,positif,Gresik semakin maju ♥️🤍🇮🇩,Gresik is increasingly advanced.,gresik is increasingly advanced.,gresik is increasingly advanced,gresik increasingly advanced,gresik increasingly advanced
ranggagitahomaya,negatif,"Selamat Hari Jadi Gresik ke 537 Semoga Gresik tambah maju... Dan janganlah lupa siltap Perangkat Desa udah hampir 3 bulan belum cair dan jangan lupa di Bawean harga bahan pokok tambah naik beras semula Rp. 12.000/kg sekarang Rp. 17.000-18.000/kg, telur semula semula Rp. 30.000/kg sekarang Rp 36.000/kg, Ayam Potong semula Rp. 40.000/kg sekarang Rp 57.000/kg,gula kristal Rp 15.000/kg sekarang Rp 18.000/kg..","Happy birthday to Gresik, may Gresik continue to make progress and don't forget that the village equipment is almost a month overdue and hasn't been disbursed, also don't forget that the price of staple goods in Bawean has increased, such as rice which was formerly IDR 8,000 per kilogram and is now IDR 12,000 per kilogram, eggs which were formerly IDR 21,000 per kilogram and are now IDR 25,000 per kilogram, chicken which was formerly IDR 25,000 per kilogram and is now IDR 30,000 per kilogram, and crystal sugar which was formerly IDR 10,000 per kilogram and is now IDR 12,000 per kilogram.","happy birthday to gresik, may gresik continue to make progress and don't forget that the village equipment is almost a month overdue and hasn't been disbursed, also don't forget that the price of staple goods in bawean has increased, such as rice which was formerly idr 8,000 per kilogram and is now idr 12,000 per kilogram, eggs which were formerly idr 21,000 per kilogram and are now idr 25,000 per kilogram, chicken which was formerly idr 25,000 per kilogram and is now idr 30,000 per kilogram, and crystal sugar which was formerly idr 10,000 per kilogram and is now idr 12,000 per kilogram.",happy birthday to gresik  may gresik continue to make progress and don t forget that the village equipment is almost a month overdue and hasn t been disbursed  also don t forget that the price of staple goods in bawean has increased  such as rice which was formerly idr per kilogram and is now idr per kilogram  eggs which were formerly idr per kilogram and are now idr per kilogram  chicken which was formerly idr per kilogram and is now idr per kilogram  and crystal sugar which was formerly idr per kilogram and is now idr per kilogram,happy birthday gresik gresik continue make progress don t forget village equipment almost month overdue hasn t disburse also don t forget price staple good bawean increase such rice formerly idr kilogram now idr kilogram egg formerly idr kilogram now idr kilogram chicken formerly idr kilogram now idr kilogram crystal sugar formerly idr kilogram now idr kilogram,happy birthday gresik gresik continue progress don t forget village equipment month overdue hasn t disburse don t forget price staple good bawean increase rice idr kilogram idr kilogram egg idr kilogram idr kilogram chicken idr kilogram idr kilogram crystal sugar idr kilogram idr kilogram
marysa_hondamotorsby,positif,Semoga Gresik makin maju... aamiin.,"May Gresik continue to progress, amen.","may gresik continue to progress, amen.",may gresik continue to progress  amen,gresik continue progress aman,gresik continue progress aman
pemkabgresik,positif,@marysa_hondamotorsby amiiin,Honda motorcycles by Amin.,honda motorcycles by amin.,honda motorcycles by amin,honda motorcycle amin,honda motorcycle amin
inibukanrino,negatif,Banjir banjir di Morowudi,Floods are occurring in Morowudi.,floods are occurring in morowudi.,floods are occurring in morowudi,flood occur morowudi,flood occur morowudi
marysa_hondamotorsby,positif,Semangat bekerja 🔥🔥🔥,Work enthusiasm.,work enthusiasm.,work enthusiasm,work enthusiasm,work enthusiasm
hantuempatempat,negatif,Semoga ada kenaikan gaji lagi buat para pengangguran 🔥🔥🔥🔥,May there be a salary increase again for the unemployed.,may there be a salary increase again for the unemployed.,may there be a salary increase again for the unemployed,salary increase again unemployed,salary increase unemployed
ranggagitahomaya,positif,Selamat Hari Pekerja dan semoga Alokasi Dana Desa segera tersalurkan ke Rekening Pemerintahan Desa Bpk Presiden @jokowi Ibu @smindrawati Bapak Bupati @fandiakhmadyani Ibu @bumin.gresik @pemkabgresik dan @dprd_gresik agar Siltap Perangkat Desa terbayarkan 🙏🙏,"Congratulations on Labor Day and may the village fund allocation be immediately disbursed to the village government's account, Mr./Mrs./Ms./Mrs. President, Mr./Mrs. Regent of Gresik, so that the salaries of village apparatus can be paid.","congratulations on labor day and may the village fund allocation be immediately disbursed to the village government's account, mr./mrs./ms./mrs. president, mr./mrs. regent of gresik, so that the salaries of village apparatus can be paid.",congratulations on labor day and may the village fund allocation be immediately disbursed to the village government s account  mr  mrs  ms  mrs  president  mr  mrs  regent of gresik  so that the salaries of village apparatus can be paid,congratulation labor day village fund allocation immediately disburse village government account mr mrs ms mrs president mr mrs regent gresik salary village apparatus pay,congratulation labor day village fund allocation immediately disburse village government account mr mrs ms mrs president mr mrs regent gresik salary village apparatus pay
abdillah_nur99,negatif,"ada hari buruh nasional..ada hari pekerja nasional.. nanti ada lagi hari karyawan nasional, hari pegawai nasuonal & hari kuli nasional 😂","There is National Labor Day, National Workers' Day, and later National Employees' Day, National Civil Servants' Day, and National Coolies' Day.","there is national labor day, national workers' day, and later national employees' day, national civil servants' day, and national coolies' day.",there is national labor day  national workers  day  and later national employees  day  national civil servants  day  and national coolies  day,national labor day national worker day later national employee day national civil servant day national coolie day,national labor day national worker day later national employee day national civil servant day national coolie day
inibukanrino,negatif,Banjir² morowudi,The mud flood is coming.,the mud flood is coming.,the mud flood is coming,mud flood come,mud flood come
marfiatin2,negatif,"Jalan bungah - dukun - karangcangkring banyak yang rusak.. hampir 5 THN tak tersentuh perbaikan.. beberapa butuh di tambah tapi banyak yang harus di tutup aspal LG . mestinya sejak awal menjabat jalan itu tidak di biarkan rusak seperti sekarang,mestinya ada pengaspalan lagi.. kalau sekarang sulit Karena 30km tentu biayanya besar.. gak mungkin setahun selesai. kami rakyat kecil cuma bisa mengeluh","The Bungah Dukun Karangcangkring road is damaged, many parts have been left unrepaired for almost a year, some need to be added, but many more need to be asphalted, it should have been done from the start, not letting it deteriorate like it is now, it should have been paved again, but now it's difficult because the cost is high, it's unlikely to be finished within a year, we, the common people, can only complain.","the bungah dukun karangcangkring road is damaged, many parts have been left unrepaired for almost a year, some need to be added, but many more need to be asphalted, it should have been done from the start, not letting it deteriorate like it is now, it should have been paved again, but now it's difficult because the cost is high, it's unlikely to be finished within a year, we, the common people, can only complain.",the bungah dukun karangcangkring road is damaged  many parts have been left unrepaired for almost a year  some need to be added  but many more need to be asphalted  it should have been done from the start  not letting it deteriorate like it is now  it should have been paved again  but now it s difficult because the cost is high  it s unlikely to be finished within a year  we  the common people  can only complain,bungah dukun karangcangkre road damage many part leave unrepaire almost year need add many more need asphalt do start let deteriorate now pave again now s difficult cost high s unlikely finish year common people only complain,bungah dukun karangcangkre road damage leave unrepaire year need add need asphalt start let deteriorate pave s difficult cost high s unlikely finish year common people complain
septianwr,negatif,jalan mayjen sungkono hari ini apa kabar ?,What's the news on General Sungkono Street today?,what's the news on general sungkono street today?,what s the news on general sungkono street today,s news general sungkono street today,s news general sungkono street today
sonys2648,positif,Nanggap wayang Kulit ya,I appreciate a traditional shadow puppet show.,i appreciate a traditional shadow puppet show.,i appreciate a traditional shadow puppet show,appreciate traditional shadow puppet show,appreciate traditional shadow puppet
talita.tenda.gresik,positif,Info job 😍,Please provide the Indonesian sentence to be translated.,please provide the indonesian sentence to be translated.,please provide the indonesian sentence to be translated,provide indonesian sentence translate,provide indonesian sentence translate
mfacidilan,positif,Gresik solawatan undang Gus Idam min,Gresik celebrates the invitation of Gus Idam's prayer.,gresik celebrates the invitation of gus idam's prayer.,gresik celebrates the invitation of gus idam s prayer,gresik celebrate invitation gus idam prayer,gresik celebrate invitation gus idam prayer
ahmadariansyah1,positif,"Penting Gresik Selatan diurus, kasihan karena banjir jadi agenda tahunan","The southern Gresik area is pitied because it is flooded, so it becomes an annual agenda.","the southern gresik area is pitied because it is flooded, so it becomes an annual agenda.",the southern gresik area is pitied because it is flooded  so it becomes an annual agenda,southern gresik area pity flood become annual agenda,southern gresik area pity flood annual agenda
sramasmdy,negatif,"logonya menarik, tapi tidak relevan dengan semangat dan visi misi kabupaten gresik.. terutama ini dijadikan logo Hut Kota. kalau dijadikan logo disparbud baru cocok.. terlalu rame. harusnya pemkab mengadakan sayembara logo untuk memancing minat masyarakat juga, sadar sejarah budaya dan semangat pembangunan di kabupaten Gresik","The logo is attractive, but it is not relevant to the spirit and vision-mission of Gresik Regency, especially if it is made as the city's anniversary logo; if it is made as the new Disparbud logo, it would be too flashy; the district government should hold a logo design competition to attract public interest, acknowledging the history, culture, and development spirit in Gresik Regency.","the logo is attractive, but it is not relevant to the spirit and vision-mission of gresik regency, especially if it is made as the city's anniversary logo; if it is made as the new disparbud logo, it would be too flashy; the district government should hold a logo design competition to attract public interest, acknowledging the history, culture, and development spirit in gresik regency.",the logo is attractive  but it is not relevant to the spirit and vision mission of gresik regency  especially if it is made as the city s anniversary logo  if it is made as the new disparbud logo  it would be too flashy  the district government should hold a logo design competition to attract public interest  acknowledging the history  culture  and development spirit in gresik regency,logo attractive relevant spirit vision mission gresik regency especially make city anniversary logo make new disparbud logo too flashy district government hold logo design competition attract public interest acknowledge history culture development spirit gresik regency,logo attractive relevant spirit vision mission gresik regency especially city anniversary logo new disparbud logo flashy district government hold logo design competition attract public interest acknowledge history culture development spirit gresik regency
pemkabgresik,positif,@sramasmdy terima kasih kak atas saran dan masukannya 🙏,"Thank you very much, elder sister, for your suggestions and inputs.","thank you very much, elder sister, for your suggestions and inputs.",thank you very much  elder sister  for your suggestions and inputs,thank very much eld sister suggestion input,thank eld sister suggestion input
pemkabgresik,positif,yuk kak langsung download aplikasi gresikpedia dan pilih gresik kerja ya,"Just download the Gresikpedia app directly and choose Gresik Career, okay?","just download the gresikpedia app directly and choose gresik career, okay?",just download the gresikpedia app directly and choose gresik career  okay,just download gresikpedia app directly choose gresik career,download gresikpedia app directly choose gresik career
pemkabgresik,positif,"siap kak, akan kami pertimbangkan ^^","We will consider it, okay?","we will consider it, okay?",we will consider it  okay,consider,consider
blek_tok,positif,undang azzahir min Gresik bersholawat,"Long live the King from Gresik, blessings and peace be upon him.","long live the king from gresik, blessings and peace be upon him.",long live the king from gresik  blessings and peace be upon him,long live king gresik blessing peace be,long live king gresik blessing peace
bonengmerchandise,negatif,TIDAK SESUAI DENGAN CIRI KHAS KOTA GRESIK😂😂,does not conform to the characteristic features of Gresik city.,does not conform to the characteristic features of gresik city.,does not conform to the characteristic features of gresik city,conform characteristic feature gresik city,conform characteristic feature gresik city
infoseputardriyorejo,positif,di jadikan Ikon Gresik sepertinya 😂😂😂,"They were made into icons of Gresik, it seems.","they were made into icons of gresik, it seems.",they were made into icons of gresik  it seems,make icon gresik seem,icon gresik
ftmtzzahrohh,negatif,Min hut gresik sekarang kok gak ada info jobfair ya?,"There is no information about a job fair at Min Hut Gresik currently, why not?","there is no information about a job fair at min hut gresik currently, why not?",there is no information about a job fair at min hut gresik currently  why not,information job fair min hut gresik currently,information job fair min hut gresik currently
ariesfergie,positif,"Logo sangat generik, untuk gresik lebih baik tiap ultah bikin sayembara logo kek, hadiah 10jt saja sudah banyak pesertanya","The logo is too generic, it's better for Gresik to hold a logo design competition every anniversary, offering a prize of millions only, which already attracts many participants.","the logo is too generic, it's better for gresik to hold a logo design competition every anniversary, offering a prize of millions only, which already attracts many participants.",the logo is too generic  it s better for gresik to hold a logo design competition every anniversary  offering a prize of millions only  which already attracts many participants,logo too generic s well gresik hold logo design competition anniversary offer prize million only already attract many participant,logo generic s gresik hold logo design competition anniversary offer prize million attract participant
ariesfergie,negatif,saya lihat logonya bikin sakit mata,I see its logo and it hurts my eyes.,i see its logo and it hurts my eyes.,i see its logo and it hurts my eyes,see logo hurt eye,logo hurt eye
pemkabgresik,positif,halo kakak terima kasih atas responnya ^^ akan kami pertimbangkan saran2 yang masuk ke kami 😉,"Hello, thank you for your response ^^, we will consider the suggestions that have been submitted to us.","hello, thank you for your response ^^, we will consider the suggestions that have been submitted to us.",hello  thank you for your response ^^  we will consider the suggestions that have been submitted to us,thank response consider suggestion submit,thank response consider suggestion submit
pemkabgresik,positif,"@blek_tok halo kak blek, terima kasih atas sarannya ya. Akan kami pertimbangkan 😉 stay tuned ya","Okay, thank you for your advice, we will consider it, stay tuned!","okay, thank you for your advice, we will consider it, stay tuned!",okay  thank you for your advice  we will consider it  stay tuned,thank advice consider stay tune,thank advice consider stay tune
gresikcreativehub,positif,"Kami harap masih ada kesempatan buat sayembara logo min, jumlah desainer di Gresik tidak kurang. Salah satu bentuk menghargai keberadaan seniman, dkv, ilustrator, desainer, dan sebagainya begitu 😇","We hope there is still an opportunity for a logo design competition with a minimum number of designers in Gresik, which is at least one form of appreciating the existence of artists, including DKV illustrators and designers, among others.","we hope there is still an opportunity for a logo design competition with a minimum number of designers in gresik, which is at least one form of appreciating the existence of artists, including dkv illustrators and designers, among others.",we hope there is still an opportunity for a logo design competition with a minimum number of designers in gresik  which is at least one form of appreciating the existence of artists  including dkv illustrators and designers  among others,hope still opportunity logo design competition minimum number designer gresik least form appreciate existence artist include dkv illustrator designer other,hope opportunity logo design competition minimum number designer gresik form appreciate existence artist include dkv illustrator designer
ainizyn_,positif,setuju,I agree.,i agree.,i agree,agree,agree
barlian.amar,positif,"coba cek hastag #Gresik537 challenge yang diadkaan teman2 @infogresik x @herodeco.id terbukti banyak designer2 Gresik yang bgaus2,.. ayo diakomodasi Min","Let's check the hashtag challenge initiated by friend X which has been proven to involve many talented designers from Gresik, come on, let's accommodate them.","let's check the hashtag challenge initiated by friend x which has been proven to involve many talented designers from gresik, come on, let's accommodate them.",let s check the hashtag challenge initiated by friend x which has been proven to involve many talented designers from gresik  come on  let s accommodate them,let check hashtag challenge initiate friend prove involve many talented designer gresik come let accommodate,let check hashtag challenge initiate friend prove involve talented designer gresik come let accommodate
vellyaw,positif,"Jalan raya munggugianti dong min, depan PLN Benjeng itu banyak lubang jalan huhuhu. Tetap semangat Tim 🙌","The road to Munggugianti in front of the PLN Benjeng is damaged with many potholes, but the team remains spirited.","the road to munggugianti in front of the pln benjeng is damaged with many potholes, but the team remains spirited.",the road to munggugianti in front of the pln benjeng is damaged with many potholes  but the team remains spirited,road munggugianti front pln benjeng damage many pothole team remain spirited,road munggugianti pln benjeng damage pothole team remain spirited
pemkabgresik,positif,@vellyaw halo kak vellya 😉 terima kasih atas laporannya ya akan kami teruskan ke opd terkait @urcbimagresik Bisa di bantu juga untuk melaporkan melalui SP4N Lapor Kabupaten Gresik.,"Hello, thank you for your report, we will forward it to the relevant OPD, you can also report through SP N Lapor Kabupaten Gresik.","hello, thank you for your report, we will forward it to the relevant opd, you can also report through sp n lapor kabupaten gresik.",hello  thank you for your report  we will forward it to the relevant opd  you can also report through sp n lapor kabupaten gresik,thank report forward relevant opd also report sp lapor kabupaten gresik,thank report forward relevant opd report sp lapor kabupaten gresik
vellyaw,positif,Oke mimin terima kasih❤️,"Okay, thank you very much.","okay, thank you very much.",okay  thank you very much,thank very much,thank
havidwidodo,positif,Depan makam morowudi cerme sangat dalam. Sehari tanggal 240224 sudah 10 pengendara jatuh. Ada yang patah tulang.,"The motorcycle rider fell very deep into the Morowudi cemetery on the same day, with some breaking bones.","the motorcycle rider fell very deep into the morowudi cemetery on the same day, with some breaking bones.",the motorcycle rider fell very deep into the morowudi cemetery on the same day  with some breaking bones,motorcycle rider fall very deep morowudi cemetery same day break bone,motorcycle rider fall deep morowudi cemetery day break bone
buesh_one,positif,bagus,Good.,good.,good,good,good
haris_rachmad,positif,raya kepatihan. bahu jalan yang dari sertu terkikis akibat banjir. Sayang kalau sampai cor jalan rusak,"The main road of Kepatihan Village is worn out from the intersection due to flooding, it's a pity if the road is severely damaged.","the main road of kepatihan village is worn out from the intersection due to flooding, it's a pity if the road is severely damaged.",the main road of kepatihan village is worn out from the intersection due to flooding  it s a pity if the road is severely damaged,main road kepatihan village wear intersection flooding s pity road severely damage,main road kepatihan village wear intersection flooding s pity road severely damage
ahmadtoha.hasan,positif,Good job,Sangat baik telah melakukan pekerjaan itu becomes Well done on that task.,sangat baik telah melakukan pekerjaan itu becomes well done on that task.,sangat baik telah melakukan pekerjaan itu becomes well done on that task,sangat baik telah melakukan pekerjaan itu become well do task,sangat baik telah melakukan pekerjaan itu task
kodeer21,positif,Jalan balongpanggang arah Mantup tepatnya dari desa kedungsumber Sampek mojopuro mbabatan jalannya berlubang bergelombang tolong di prioritaskan min....,"The road from Kedungsumber village to Mojopuro, Mbabatan, which is precisely in the direction of Mantup from Balongpanggang, is bumpy and uneven, so please prioritize its maintenance.","the road from kedungsumber village to mojopuro, mbabatan, which is precisely in the direction of mantup from balongpanggang, is bumpy and uneven, so please prioritize its maintenance.",the road from kedungsumber village to mojopuro  mbabatan  which is precisely in the direction of mantup from balongpanggang  is bumpy and uneven  so please prioritize its maintenance,road kedungsumber village mojopuro mbabatan precisely direction mantup balongpanggang bumpy uneven so prioritize maintenance,road kedungsumber village mojopuro mbabatan precisely direction mantup balongpanggang bumpy uneven prioritize maintenance
st.budi27,positif,Aamiin.. ❤️ semoga semakin kompak untuk persiapan periode ke 2 hehe,"Amen, hopefully we will be more united in preparation for the next period, hehe.","amen, hopefully we will be more united in preparation for the next period, hehe.",amen  hopefully we will be more united in preparation for the next period  hehe,hopefully more united preparation next period hehe,hopefully united preparation period hehe
buchariramli,positif,"Selamat dan sukses buat pak Yani dan bu amin,semoga memimpin Gresik lebih baik kedepan,dan di sini saya minta buat pak Yani kalau lah bisa warung remang remang di sepanjang rel dari karang kiring ke barata ditiadakan di tanah wali ini. pasti ada oknum tidak mungkin tanah kereta api bisa di pergunakan begitu saja. ini harapan saya semoga bisa terlaksana ..salam sukses kedepan nya","Congratulations and success to Mr. Yani and Mr. Amin, may they lead Gresik to a better future, and I humbly request that Mr. Yani consider closing the shady food stalls along the railway tracks from Karang Kiring to Barata in this Wali Land, as it is impossible for the railway land to be used so casually, there must be individuals who are not in favor; I hope this can be realized, and I wish them success in the future.","congratulations and success to mr. yani and mr. amin, may they lead gresik to a better future, and i humbly request that mr. yani consider closing the shady food stalls along the railway tracks from karang kiring to barata in this wali land, as it is impossible for the railway land to be used so casually, there must be individuals who are not in favor; i hope this can be realized, and i wish them success in the future.",congratulations and success to mr  yani and mr  amin  may they lead gresik to a better future  and i humbly request that mr  yani consider closing the shady food stalls along the railway tracks from karang kiring to barata in this wali land  as it is impossible for the railway land to be used so casually  there must be individuals who are not in favor  i hope this can be realized  and i wish them success in the future,congratulation success mr yani mr amin lead gresik well future humbly request mr yani consider close shady food stall railway track karang kiring barata wali land impossible railway land use so casually individual favor hope realize wish success future,congratulation success mr yani mr amin lead gresik future humbly request mr yani consider close shady food stall railway track karang kiring barata wali land impossible railway land use casually individual favor hope realize wish success future
marfiatin2,positif,nanggap wayang Kulit ya,I watched a traditional shadow puppet show.,i watched a traditional shadow puppet show.,i watched a traditional shadow puppet show,watch traditional shadow puppet show,watch traditional shadow puppet
jazzy_kampoeng,negatif,perlu di perbaiki banyak untuk pendidikannya,Needs to be greatly improved for his education.,needs to be greatly improved for his education.,needs to be greatly improved for his education,need greatly improve education,need greatly improve education
prisllllll_io,positif,Pak kami tunggu info mudik gratisnya lagi😂😍😍,We are waiting for the free information on mudik again.,we are waiting for the free information on mudik again.,we are waiting for the free information on mudik again,wait free information mudik again,wait free information mudik
gresik_info_loker,negatif,Info pembagian sekrop kah Ini pak?,"Information about the distribution of this scrapbook, sir.","information about the distribution of this scrapbook, sir.",information about the distribution of this scrapbook  sir,information distribution scrapbook,information distribution scrapbook
_.sh4uqy._,negatif,"Lah cocok, segera ditanam di jalan Mayjend Sungkono, lubangnya sudah bisa dipakai untuk menanam tanaman jati ","The suitable plot is immediately planted on Jalan Mayjend Sungkono, the hole is already usable for planting teak trees.","the suitable plot is immediately planted on jalan mayjend sungkono, the hole is already usable for planting teak trees.",the suitable plot is immediately planted on jalan mayjend sungkono  the hole is already usable for planting teak trees,suitable plot immediately plant jalan mayjend sungkono hole already usable plant teak tree,suitable plot immediately plant jalan mayjend sungkono hole usable plant teak tree
rohmansubkhi,negatif,"Bangun tanggul pak agar tidak jebol terus, masa hanya diuruk tanah saja, dibeton pak tanggulnya #cermebanjir @fandiakhmadyani","Build a strong dike, sir, so it won't constantly collapse, and it's not just a simple earthen embankment, but rather a concrete dike.","build a strong dike, sir, so it won't constantly collapse, and it's not just a simple earthen embankment, but rather a concrete dike.",build a strong dike  sir  so it won t constantly collapse  and it s not just a simple earthen embankment  but rather a concrete dike,build strong dike sir so win t constantly collapse s just simple earthen embankment rather concrete dike,build strong dike sir win t constantly collapse s simple earthen embankment concrete dike
yomans131,negatif,Pupuknya gus,His fertilizer.,his fertilizer.,his fertilizer,fertilizer,fertilizer
mochtarwib,negatif,Hoi.. Benjeng BANJIRE tolong diurus???,The people from Benjeng Banjir should be helped.,the people from benjeng banjir should be helped.,the people from benjeng banjir should be helped,people benjeng banjir help,people benjeng banjir help
fanndt_,negatif,"pak, jalan dermo kecamatan benjeng tolong diperbaiki pak, masa yang dicor cuma sebelah😭","The road in Benjeng sub-district is damaged, please repair it, sir, the concrete pavement is only on one side.","the road in benjeng sub-district is damaged, please repair it, sir, the concrete pavement is only on one side.",the road in benjeng sub district is damaged  please repair it  sir  the concrete pavement is only on one side,road benjeng sub district damage repair sir concrete pavement only side,road benjeng sub district damage repair sir concrete pavement
maarif1515,positif,Ruas jalan poros dampaan dungus kapan di bangun,When was the Dampaan Dungus road axis built in Bangun?,when was the dampaan dungus road axis built in bangun?,when was the dampaan dungus road axis built in bangun,dampaan dungus road axis build bangun,dampaan dungus road axis build bangun
